field_id,latitude,longitude,year,season_number,season_length_days,ndvi_peak,ndvi_mean,ndvi_auc,ndvi_slope_mid,precip_cum,rh_mean,gdd_cum,solar_cum,water_stress_index,yield_kg_ha,sustainability_score
field_39.8000_-98.6000,39.8,-98.6,2014,1,176,0.7381,0.5103858757062147,1440.9832,0.0032866666666666,488.38,61.61197740112994,1833.44,3517.5800000000004,0.2499855503293009,7584.819309803594,0.6076926210526205
field_39.8000_-98.6000,39.8,-98.6,2015,1,160,0.8936,0.5584857142857144,1434.7304000000004,0.01299,411.56,62.44521739130435,1933.92,3281.17,0.2746747469619228,7261.670665163618,0.5880343809056375
field_39.8000_-98.6000,39.8,-98.6,2016,1,210,0.6159,0.3903900473933648,1312.7343999999998,0.01168,480.66,65.2663981042654,2048.9700000000003,3780.66,0.2148720479234518,8178.429235265092,0.6272449771220471
field_39.8000_-98.6000,39.8,-98.6,2017,1,176,0.856,0.5273819209039549,1488.5168,0.0095633333333333,478.3,60.23785310734463,1989.26,3657.12,0.2778954730654239,8106.376998784317,0.64542937179992
field_39.8000_-98.6000,39.8,-98.6,2018,1,192,0.5378,0.3927321243523315,1208.2664,0.0006066666666666,693.1300000000001,65.3618652849741,2109.39,3959.27,0.234814846612437,7685.108050484351,0.578055826214423
field_39.8000_-98.6000,39.8,-98.6,2019,1,176,0.8617,0.5968836158192091,1685.4896,-0.000543333,682.46,72.81005649717515,1813.05,3612.98,0.1781192204751719,7502.517195123384,0.66548662831936
field_39.8000_-98.6000,39.8,-98.6,2020,1,144,0.89,0.5695420689655171,1317.2736,0.00773,352.36,62.4028275862069,1808.81,3250.84,0.2810833753880301,6708.370546894575,0.5431289257908432
field_39.8000_-98.6000,39.8,-98.6,2021,1,176,0.779,0.5223864406779662,1474.4672,-0.00092,433.55,63.82457627118645,2064.27,3559.5,0.260001831226659,7765.671987428749,0.6229504166873225
field_39.8000_-98.6000,39.8,-98.6,2022,1,176,0.6705,0.4563819209039547,1288.0543999999998,0.0068833333333333,398.71,54.487175141242936,2252.15,3893.48,0.3436021140306638,7856.565022415715,0.5684766262312282
field_39.8000_-98.6000,39.8,-98.6,2023,1,160,0.8566,0.5456260869565217,1400.932,-0.002043333,405.5,57.32739130434782,2062.63,3309.3,0.3191062979206049,7302.573847915261,0.5669122708317531
field_39.8000_-98.6000,39.8,-98.6,2024,1,143,0.8003,0.5500368055555556,1261.4391999999998,0.0090266666666666,322.18,57.25791666666666,2010.23,3235.07,0.3413657828221451,7047.734506332914,0.5374300769498664
field_39.8000_-98.6000,39.8,-98.6,2025,1,46,0.7802,0.7319106382978723,538.94,-0.00259,210.64000000000007,67.37957446808511,753.7,111.65999999999995,0.2831036505205975,5299.408518932931,0.4861348500061914
field_41.5000_-99.7000,41.5,-99.7,2014,1,160,0.8944,0.6361347826086956,1634.7256,0.0001766666666666,435.98,60.57391304347826,1547.81,3293.24,0.2549333228913493,7587.3751064326625,0.6535305940934606
field_41.5000_-99.7000,41.5,-99.7,2015,1,144,0.9179,0.557261379310345,1289.0128000000002,0.0142933333333333,342.04,60.42103448275861,1655.98,2972.79,0.2824136612604043,6853.016406882706,0.5499683721412838
field_41.5000_-99.7000,41.5,-99.7,2016,1,160,0.8956,0.6204459627329194,1594.148,6.99999999999997e-05,346.59,61.33093167701864,1681.98,3287.76,0.26226034642182,7078.756852998783,0.6017866578299843
field_41.5000_-99.7000,41.5,-99.7,2017,1,112,0.8678,0.4757964601769912,855.3824,0.0053799999999999,360.21000000000004,56.42681415929203,1404.4,2464.61,0.3256729318349127,6329.494518886585,0.4560743718100128
field_41.5000_-99.7000,41.5,-99.7,2018,1,160,0.9158,0.6268012422360248,1610.4607999999998,-0.001836667,460.7000000000001,68.31403726708075,1523.21,3132.62,0.1983639670691716,7523.558893864574,0.6696669495424322
field_41.5000_-99.7000,41.5,-99.7,2019,1,160,0.927,0.6252745341614907,1606.0368,0.0146566666666666,532.9300000000001,70.57826086956521,1457.66,3162.84,0.1780045674678189,7475.486200245261,0.674071550901086
field_41.5000_-99.7000,41.5,-99.7,2020,1,160,0.8502,0.6001950310559007,1542.12,0.0022199999999999,240.02,57.784099378882,1669.4199999999998,3357.9300000000003,0.2743989838612193,7098.680518945963,0.590383759034162
field_41.5000_-99.7000,41.5,-99.7,2021,1,144,0.9044,0.6026779310344828,1394.1432,0.0091499999999999,278.70000000000005,58.24420689655173,1766.46,3096.72,0.3081500738771304,7355.305946939865,0.5978612288448436
field_41.5000_-99.7000,41.5,-99.7,2022,1,144,0.7673,0.5171786206896553,1195.8904000000002,-0.00321,212.62,49.63517241379311,1888.19,3196.33,0.3856521684185493,7361.095149811821,0.5315549059724908
field_41.5000_-99.7000,41.5,-99.7,2023,1,144,0.9259,0.5926386206896552,1370.5536,0.0066333333333333,379.31,58.84427586206897,1729.6,3064.7599999999998,0.2993591685105033,7069.661918274386,0.574043024984215
field_41.5000_-99.7000,41.5,-99.7,2024,1,160,0.8888,0.597275155279503,1534.0752,0.0047833333333333,262.5,55.544782608695655,1820.43,3282.12,0.3143232376991628,7900.601262601247,0.6386815204448176
field_41.5000_-99.7000,41.5,-99.7,2025,1,30,0.8932,0.8755225806451612,420.516,0.0,99.91,67.82387096774194,444.99,-327.65,0.261211351161984,5338.5636819600495,0.5536979264644533
field_42.0000_-93.6000,42.0,-93.6,2014,1,210,0.8445,0.7439616113744074,2503.3296,0.0005833333333333,816.1700000000001,76.29559241706161,1565.33,3625.71,0.1326057514184317,8048.905079790462,0.787237780546874
