field_id,latitude,longitude,year,season_number,season_length_days,ndvi_peak,ndvi_mean,ndvi_auc,ndvi_slope_mid,precip_cum,rh_mean,gdd_cum,solar_cum,water_stress_index,yield_kg_ha,sustainability_score
field_13.8000_100.5000,13.8,100.5,2025,1,60,0.4922,0.4428360655737705,424.9408,-0.00279,447.43000000000006,81.50327868852457,1130.55,1038.46,0.175926056167697,5023.143838885485,0.4199383571471074
field_3.1000_101.6000,3.1,101.6,2014,1,60,0.3155,0.3102344262295082,297.8208,0.0001433333333333,617.85,87.22229508196722,947.51,977.7600000000002,0.1087508370868046,5246.060094393079,0.4083159144456936
field_3.1000_101.6000,3.1,101.6,2015,1,60,0.3595,0.3136639344262295,300.9152,-0.00043,328.73,84.87360655737704,995.26,1132.5,0.1326874007524859,5605.379115080334,0.4324901561834188
field_3.1000_101.6000,3.1,101.6,2016,1,60,0.3427,0.3028049180327868,290.9175999999999,0.0019933333333333,185.86,83.59950819672129,987.89,1226.3699999999997,0.1432031794947597,5519.578752531561,0.41803074823580566
field_3.1000_101.6000,3.1,101.6,2017,1,60,0.6438,0.4213213114754098,403.7056,-0.01225,401.38,87.41393442622949,953.48,1068.8100000000002,0.1075303923676433,5192.906293221183,0.4464745120595423
field_3.1000_101.6000,3.1,101.6,2018,1,60,0.32,0.3002573770491804,288.2488000000001,0.0007166666666666,279.08,87.46344262295081,934.41,1130.84,0.1058010086267133,5928.606720259991,0.46249134170802597
field_3.1000_101.6000,3.1,101.6,2019,1,60,0.3085,0.303444262295082,291.26560000000006,-0.000413333,241.09,82.28590163934425,979.34,1228.7499999999998,0.1538454922870197,5317.3035733583165,0.398164098924503
field_3.1000_101.6000,3.1,101.6,2020,1,60,0.411,0.3251180327868854,312.15200000000004,-0.00282,398.18,85.70672131147542,1011.26,1073.29,0.1266290765385647,5442.897746008733,0.42507383813592037
field_3.1000_101.6000,3.1,101.6,2021,1,60,0.3808,0.3462508196721311,331.9416,-0.00344,452.63000000000005,86.5344262295082,950.28,1127.7600000000002,0.1148091007793603,5688.982109738864,0.45723600745544213
field_3.1000_101.6000,3.1,101.6,2022,1,60,0.3709,0.3070180327868853,295.12080000000003,0.0010466666666666,545.5500000000001,86.29573770491805,971.1,1096.34,0.1184033284959238,5352.709565332677,0.41311672104841357
field_3.1000_101.6000,3.1,101.6,2023,1,210,0.4882,0.3541511848341232,1189.5448,0.00215,1371.2800000000002,86.91649289099524,3385.12,3692.83,0.1135788966585058,8513.90874188175,0.6968684357560508
field_3.1000_101.6000,3.1,101.6,2024,1,60,0.3669,0.3526836065573772,338.6520000000001,0.0011133333333333,286.81,86.3690163934426,992.13,1132.66,0.1193366544566874,5717.4561578503535,0.46070503645006394
field_3.1000_101.6000,3.1,101.6,2025,1,60,0.3803,0.3254803278688523,312.05759999999987,-0.002156667,391.78,86.99754098360657,959.3,1065.0399999999995,0.1115014149422197,5241.710389623368,0.41292381913703136
field_1.3000_103.8000,1.3,103.8,2014,1,60,0.5237,0.4565114754098359,438.632,0.00315,359.27,83.1722950819672,1059.07,959.6899999999998,0.1534787838663442,5043.479646555528,0.4335730220722422
field_1.3000_103.8000,1.3,103.8,2015,1,60,0.5171,0.4480999999999999,430.5591999999999,0.0039733333333333,336.62000000000006,81.86852459016393,1091.66,1075.8000000000002,0.1685989423273314,5257.531737953122,0.44374072613464
field_1.3000_103.8000,1.3,103.8,2016,1,210,0.5265,0.3807208530805687,1280.9496,0.00304,1254.44,81.85454976303318,3766.52,3472.17,0.168455136218863,8333.039743837227,0.6753812258564235
field_1.3000_103.8000,1.3,103.8,2017,1,60,0.5366,0.3426065573770491,330.0175999999999,0.0076933333333333,366.97,83.69786885245902,1057.48,972.05,0.1485435936934515,5548.166924040932,0.4339531084434778
field_1.3000_103.8000,1.3,103.8,2018,1,210,0.648,0.436165402843602,1465.3272000000002,0.0026599999999999,1300.99,83.34834123222748,3666.87,3319.21,0.1519659841797504,8600.65341755362,0.7237908890287755
field_1.3000_103.8000,1.3,103.8,2019,1,60,0.574,0.4331573770491803,415.6696,-0.005913333,124.43,81.22655737704919,1076.4,1085.9900000000002,0.1730029160619903,5682.692720360548,0.4722958322052403
field_1.3000_103.8000,1.3,103.8,2020,1,30,0.7182,0.5333290322580643,255.1239999999999,-0.008683333,97.26,86.49258064516127,516.58,546.8699999999999,0.1200533622615333,4686.364495117488,0.4429416308128182
